V1,perm_ent4,mse,mape,sym_test
M142,0.8820863916304693,1016058.5629200964,0.36632110899560416,False
M143,0.86165036501226,510019.8822550751,0.3808670275078317,False
M144,0.3369551369477532,8963.454117969879,0.04337581580065599,False
M145,0.6943744651200783,31993.34672839498,0.009260069474936523,False
M146,0.5749685328101141,35.00835843620987,0.00193248882100311,False
M147,0.9170067672998687,102.31079362138684,0.007025429577432341,True
M148,0.6419890522917683,520874.19489711977,0.036514279170642074,False
M149,0.9166071721562293,437827.6231481506,0.031245744966106843,True
M150,0.8651453736041277,9695623.679506162,0.17115859385162288,False
M151,0.871741297846466,7373258.504526726,0.15136504109550708,True
M152,0.8354785114632588,136742.52217098812,0.20697605825948948,False
M153,0.9202442460297786,1847.551428875136,0.03525349054205923,True
M154,0.9202442460297786,2174.5188083675866,0.038618238763136,True
M155,0.9048424240114844,1928.7346049383227,0.03514968446136482,False
M156,0.8375557539463478,9478.36771550051,0.04657266834106889,False
M157,0.8245193395362431,65720.00657654314,0.15557363418171002,False
M158,0.8077533399778839,15253497.892050842,0.21779373861782703,False
M159,0.8590523396748807,63575.76722277077,0.1206210660316478,True
M160,0.8919893959893295,37658.870339643596,0.13003589354948927,True
M161,0.9004488170651561,109886.26751166164,0.030303763195095985,False
M162,0.9144550859004165,438653.5689152959,0.29962144523441153,True
M163,0.8639371922210265,252047.06431748878,0.2860724782145382,True
M164,0.8606832274052708,257884.2212816878,0.29520588044613527,True
M165,0.9147725067203415,64902.10661627502,0.3593205066218222,True
M166,0.6849089928932655,272095.59164362086,0.30258367509783635,False
M167,0.8524543007553421,4173129.8365034303,0.2576301048768501,True
M168,0.8282052188401748,9052.931285870827,0.038477256203587135,False
M169,0.7622116878248925,2523376.202702319,0.08565731647708476,False
M170,0.8441857775677709,3053.383886762728,0.03433506584044543,True
M171,0.510335410462564,1506.5913291495638,0.010915858126196854,False
M172,0.5150157470481732,3969.7523198901827,0.030181363260654372,False
M173,0.6595029268197042,535.665442249674,0.012459363832391154,False
M174,0.8185918185207847,1006.3303728394814,0.01969282431093059,False
M175,0.7275999630300163,3672.472755761281,0.017177672323601498,False
M176,0.8270285705923748,10423.084527846226,0.054571589740816856,False
M177,0.7274805772514488,9439.594440123394,0.03751738150670383,False
M178,0.7782068542359036,23930.248744376095,0.07740333384961558,False
M179,0.7899448851471287,23673.760990191673,0.07703034744847924,False
M180,0.2535566255973387,16854.173080246554,0.009083133513082577,False
M181,0.43805957074156354,11256.948679286568,0.008086478507246142,False
M182,0.7022567253897023,553.2836230452699,0.014450739496467033,False
M183,0.8436632082509489,566.7336053497971,0.0062905759300407324,False
M184,0.8306867947716792,571.19709293552,0.012321943291238263,False
M185,0.6636990524955663,28045.445940260484,0.056946431829916704,False
M186,0.7273503969439473,64840.91408778859,0.009312468014767369,False
M187,0.8832584092465305,445.28205685870296,0.007982715742801147,False
M188,0.6897449991239574,6448.041815706247,0.023695316110948324,False
M189,0.550166243798171,486.0178652263603,0.007317475610968599,False
M190,0.8714581745011978,7225.658501920598,0.046244370679113404,False
M191,0.8120366133865735,5332.886731412865,0.04770765954836164,True
M192,0.5136720588170998,70.86122034225073,0.006809093318582529,False
M193,0.6004672621883613,802.6151052811097,0.01128313286313107,False
M194,0.7343616458879875,9368.657795290812,0.08540890255295652,True
M195,0.7902242830149624,22082.407957338677,0.06889711617259103,False
M196,0.5475265920581178,372103.7740260628,0.03061129688493083,False
M197,0.7925079756035459,381.75478532235604,0.007776513799647384,False
M198,0.7966822247393381,21231.864419752837,0.0654535736372288,False
M199,0.853009515797912,24115.85400692729,0.06761939372259589,True
M200,0.7535606276246561,494.86527983540094,0.007953604232170132,False
M201,0.8678031181931806,102829.69955397752,0.14969755586166403,True
M202,0.8961828303604715,349.1723689986385,0.010287552751072562,False
M203,0.862677321397114,151.98872386832923,0.008765802082222158,False
M204,0.8257898783393618,13646.195102537407,0.009848672203140183,False
M205,0.9262871090222424,255914.21787606474,0.036964966947090144,True
M206,0.6432921358876141,205414.79248284546,0.02916028072668522,False
M207,0.7419416430318462,496.69317229083833,0.018916836579576747,False
M208,0.6600325520971938,5733.020619821672,0.03783454570266841,False
M209,0.7413591410901925,2205.431592386857,0.02501569516429267,False
M210,0.8712576049247474,10213291.886522597,0.15041758849962827,True
M211,0.6158148841966543,603055.540877913,0.0390677633923897,False
M212,0.43107190506898074,10761.20280102887,0.03107714331523849,False
M213,0.34780056989963026,2819.550771056255,0.025590678824721377,False
M214,0.8728364845312442,90.53587222221284,0.005977478366647782,False
M215,0.7962679132765531,40550.48882043896,0.1177131171496107,False
M216,0.7566684767477327,786521.5291002586,0.08600711723783941,False
M217,0.6767871973443934,8612.905964060552,0.07009852441589301,False
M218,0.8204079750775339,3363.680454389598,0.045675654280491945,True
M219,0.5646476726324043,1972.6331095336832,0.020097948977888903,False
M220,0.9327940969511526,2653.7447864884507,0.04093986120319382,True
M221,0.8480454403200492,41050.19728333278,0.017042779387250587,True
M222,0.5789482839625302,687.7368408093444,0.01791017034152565,False
M223,0.867541749108197,805.9954877914867,0.01811068043713247,False
M224,0.8843671330333143,2813.8674894376604,0.023097624638095237,False
M225,0.9114360244830236,16298.02282969793,0.041890447300159825,True
M226,0.8682865006074428,822.0728192044039,0.017968835935609447,False
M227,0.867541749108197,814.5462061042069,0.01825491837539959,False
M228,0.9707725526818707,213.04176419752807,0.010237430640466512,True
M229,0.9591852099770425,300818.33674451296,0.044377075657949114,True
M230,0.9821159051432772,244.40024492455748,0.011358029003085171,True
M231,0.972862399121655,243.85916063103346,0.010980014496140144,True
M232,0.890947513245157,8004.06783799723,0.048808493574015184,False
M233,0.8557209816903517,8751.75052626895,0.023956406188939797,False
M234,0.7333941092663692,7764.594586350949,0.027958512675597433,False
M235,0.9188309849464663,187.26467956102678,0.007793441206526808,False
M236,0.9542737406217041,7081.078429149512,0.04655008796831961,True
M237,0.879415311535701,8216.944214951951,0.041489528775457356,False
M238,0.9401650370449359,2813.234192112584,0.03579633630981327,True
M239,0.9075003551324622,35639.98089156402,0.017014833954804916,True
M240,0.7431637537624027,1077.1591494513514,0.0232964143547945,False
M241,0.762023371274396,2750.8911825789232,0.030095755897580186,False
M242,0.8421326389277514,1268.5439912208467,0.01978875943822124,False
M243,0.8366005295361169,4058.3373789436105,0.021057723177355284,False
M244,0.8544714269966034,20019.953213306017,0.014362525507221866,False
M245,0.8193088140667035,112.16418024690846,0.008426707818889564,False
M246,0.8325224956135863,3512.6948329904835,0.0450795116359806,True
M247,0.6596690640434246,126.80586508916713,0.007903849296361771,False
M248,0.8043723081263279,152003.51514962953,0.5520940916358357,True
M249,0.8312405064579212,1046030.3345521262,0.0847288192214849,True
M250,0.9359386974146694,15922.011004595352,0.04800026029602723,True
M251,0.840155549821894,566771.1799196171,0.5143944698114767,False
M252,0.7437793921912913,240315.02251460854,0.33743954699138706,False
M253,0.8267943632630295,365962.4701462297,0.31060728538807736,False
M254,0.8193641783374354,12342.097491975377,0.07594241393201281,False
M255,0.8180399229914598,193154.94708504766,0.4076405219339787,True
M256,0.841638481919271,54394.13225034289,0.10433905431611819,True
M257,0.8860639018912311,1112334.9679444456,0.14449458865790202,True
M258,0.8251436814284127,3762.635894444478,0.031910101998604105,False
M259,0.7743482513815284,4212.626522085068,0.05116721792631852,False
M260,0.8163844909089489,1715.2940270918486,0.0235291301455987,False
M261,0.7555007640136095,560779.6460824416,0.07439961857285622,False
M262,0.8634685779968126,15878.8031670781,0.06235008539023289,True
M263,0.8747749285403207,35650.39306124851,0.07928921537033622,True
M264,0.8275199634768403,8693.028038172924,0.08575602510525791,True
M265,0.806216545391639,7403.097670027344,0.04854451938145841,False
M266,0.9499508539005546,14241.148979149482,0.020058413026980967,True
M267,0.8537120139831749,1027303.022458917,0.1698366768726695,False
M268,0.9435823602971527,844712.9886899684,0.049250150463817165,False
M269,0.9438974887364007,343227.97833395103,0.1267354951760287,False
M270,0.762806044057404,264469.80898683204,0.07990712802959389,False
M271,0.9555348154832585,10214.538934998625,0.20362653497160005,True
M272,0.9111984927028942,6289011.147132514,0.6234318525565288,False
