V1,perm_ent4,mse,mape,sym_test
W1,0.6666452243927947,374727.93235384475,0.015219086463459711,False
W2,0.9384291353395947,5208.7993781538635,0.016721125832285744,False
W3,0.7965750605222097,13923.890844615438,0.009947432143318112,False
W4,0.9552105801255121,48130.78684276925,0.05685606020215152,False
W5,0.9816543713059517,34882.830296615364,0.08081884560975411,True
W6,0.9626402988965321,22148.512050381534,0.08373914328745659,False
W7,0.9679763357818,853491.1822464615,0.19801623579465888,False
W8,0.9824002569154366,1023265.9992612307,0.16752553277484017,True
W9,0.9782838932028414,1220812.5025184618,0.09341592888818667,False
W10,0.5875047494446379,110801.95120246134,0.04919396973729146,False
W11,0.9541728285732556,3442.690976224616,0.15034046416021013,False
W12,0.32021711633373956,709.412450769231,0.019221575187752228,False
W13,0.9128420204306552,4549.187655000001,0.02485170609167822,True
W14,0.9406353133482798,7650.945919923075,0.027680100745788527,False
W15,0.9735647115415724,707144.3638218463,0.168629447382896,True
W16,0.9735647115415724,768439.1663840002,0.18071746491135687,True
W17,0.7686817781110511,131503.99163076945,0.02506089689990002,False
W18,0.6698963322938427,93649.81194246162,0.06123978675512009,False
W19,0.9702635430974188,1112208.5585215385,0.12284066587858655,False
W20,0.9701281794519855,257996.09856430755,0.09377323777851897,False
W21,0.9731919344543378,81641.24271076923,0.0930185791299408,True
W22,0.9913707551890255,330004.11480215384,0.12837295534849977,False
W23,0.968074185913635,6117.8212871076885,0.08109013236413154,False
W24,0.9713662256529331,18705818.381727073,0.3341166461229949,False
W25,0.9628363060532502,77383.041016,0.09905658207531917,True
W26,0.9765929528489483,963603.394858769,0.13770781250064004,False
W27,0.9860709212743338,455081.94566246157,0.13996790250295377,False
W28,0.9667149691688112,14571307.934142768,0.87216269511502,False
W29,0.9806969383026616,40877.38487399999,0.10396437313049106,False
W30,0.9904765960112188,499947.63557323103,0.08684671867239002,True
W31,0.9814942034314604,52233.5432278646,0.18133854640292085,True
W32,0.9779577995198843,707447.4836978461,0.10492834538143646,False
W33,0.9680957856316492,246737.82570707684,0.15363361281304402,False
W34,0.979005778342176,40275.93522676924,0.07323313623311521,False
W35,0.9484422650142713,69984.28165138462,0.11950502363760561,False
W36,0.9591608559555711,4302434.681507693,0.10914645590307484,False
W37,0.9110597012506024,10803.039761846145,0.03362973087355059,True
W38,0.9348793545036914,25035.53869692304,0.050466086665726544,True
W39,0.8744898801525471,8624.646131076908,0.014412107989503488,False
W40,0.8656037449889493,12036.811453615395,0.017421197249329366,False
W41,0.9261742102020956,23266.622849538515,0.0236420709316487,True
W42,0.9276878448040705,24168.409756615358,0.02399513530246189,True
W43,0.9253039969146651,21970.038682461534,0.02282461983452689,True
W44,0.8443125730040146,10801.35481261537,0.01645089603797342,False
W45,0.8870783599971594,25562.68175723077,0.04260553838000915,False
W46,0.943593084034517,28150.569693769237,0.050053954998777225,True
W47,0.887365313430702,26277.630400615377,0.04352063977594012,False
W48,0.8862062598490122,6820.957736230777,0.023503138889980256,False
W49,0.9454891835304174,17036.816075076953,0.03407133589781947,True
W50,0.9440862926172983,17333.923568615373,0.03422332904382864,True
W51,0.9104865507954396,16005.23979907692,0.016812221264627787,True
W52,0.940842055806288,38498.67625969233,0.02351619210775709,True
W53,0.9500613196259032,102651.87160123077,0.10299974025657763,False
W54,0.8901244407367762,6866.952241538452,0.025003135342335798,False
W55,0.9055089518939798,457529.4949803075,0.10809139336611848,True
W56,0.4016994646688539,24968.26843015384,0.03103305143686919,False
W57,0.42044022533277187,64735.03433138462,0.15916768694677624,False
W58,0.865908543064995,194432.51333323086,0.10690080097478837,True
W59,0.9767177760126299,230853.18632646158,0.2155063309895115,True
W60,0.8738217404765979,77918.05311107716,0.028078532478838174,True
W61,0.5483890468202353,414970.5700504624,0.049127565867828724,False
W62,0.6952055165007267,6239.121038153899,0.008928874339617164,False
W63,0.7022431374476057,15842.417936923057,0.014335934905256356,False
W64,0.9341679930435207,717767.3473538464,0.04633466980080722,False
W65,0.9230669187144059,924105.3019384616,0.03840153675529252,False
W66,0.8316599656652078,11356.654419076947,0.011516087251137239,False
W67,0.8428174060718004,170303.181723077,0.02417301747418433,False
W68,0.8129533533369246,82075.60122646151,0.03831512849987568,False
W69,0.8189266975091873,82644.00722123071,0.03888407749829214,False
W70,0.8687860311384404,2146.2381667692316,0.016415106344904076,False
W71,0.9074711900360943,3226.7385135384643,0.0283509928729825,False
W72,0.8665711446920135,2659.762411999999,0.02577438302496057,False
W73,0.8718043163110483,3017.4965923076934,0.027434609512120824,False
W74,0.9641220483499845,609673.8848310772,0.17452546715581302,True
W75,0.9685313038172773,1794972.9067076924,0.04767919015283481,True
W76,0.26993842946621177,27525.861967556928,0.4882942715617716,False
W77,0.9541841923413812,445971.6484286155,0.11486934138868062,True
W78,0.983834231967751,673946.0562486153,0.15305758949582393,True
W79,0.8241120630533868,137131.79982707696,0.2008071260603119,False
W80,0.8589416306970359,117603.900912,0.18584097533390923,False
W81,0.9582794634564022,1954516.7601230764,0.0480541028102058,True
W82,0.9214963725331937,3470.1276266922873,0.009671208443508007,False
W83,0.8173225201120363,15860.295985538429,0.017450281817379946,False
W84,0.8555005067012612,15973.54782246156,0.01829333211448166,False
W85,0.49439640592435824,56816.0574153846,0.00995090794947067,False
W86,0.4880483905060902,79890.56913846156,0.011381667285380027,False
W87,0.728350664438203,122.79143138461569,0.009581366476906045,False
W88,0.9678203706343816,15234.702323076925,0.007519534665561553,False
W89,0.9834413230704493,19856.627593538466,0.11818644132488466,True
W90,0.9687393771362276,1660.362355692309,0.019363177358835356,True
W91,0.9784178460793306,292779.04228461493,0.025557983809577925,False
W92,0.9904158260886406,1807799.9717769239,0.05683269201777353,False
W93,0.8800932029046048,137.11071076923037,0.005928231028749233,False
W94,0.9499337957674239,80514.89028153848,0.12674875007834077,True
W95,0.9605890940929029,57987.70084030767,0.11866712374029698,True
W96,0.9711923675417755,1785.1550640768992,0.003332570820464805,False
W97,0.9852455688785708,1048.518625498461,0.05660215331099711,False
W98,0.983893545362888,1316.695051036923,0.05198965078521226,False
W99,0.8815128624200199,14519.925930769232,0.006484146557642994,False
W100,0.9739411846091179,67230.70960000005,0.019558923389579007,False
W101,0.9218627460658017,2037.360039999985,0.004211230037886815,False
W102,0.9720785989822238,94966.8682615383,0.016169972888856885,False
W103,0.9717244108972535,16033.598652307697,0.024866681504461738,False
W104,0.9208660769710795,681.5160612307686,0.023520280479298935,False
W105,0.9306937193258299,20238.094212923173,0.013656687484923886,False
W106,0.8762325910978546,249.9182429230765,0.006671539522254742,False
W107,0.9263894304874049,44296.040507692196,0.007208466822702703,False
W108,0.9601860563563184,20013.283823769303,0.008253102357313217,False
W109,0.9670316160089009,16972.977146923095,0.008463198288943579,False
W110,0.9236586774134442,14937.529244307687,0.012563610406743215,False
W111,0.7336907147668695,104.43846061538457,0.008882299872296485,False
W112,0.9754043748097574,11515.679905538473,0.0086461917982344,False
W113,0.9779579546218512,1896.1998601169225,0.05143928677309048,True
W114,0.9518334404430427,121861.38554615405,0.030466097393351925,True
W115,0.9814148369175406,109736.51505384594,0.02638108973958668,True
W116,0.99328604684577,521330.4552307696,0.04404322237209346,True
W117,0.9097176943097461,830.0662304615432,0.0034464112625199627,False
W118,0.8826976675792464,114.08425538461627,0.005272872680098987,False
W119,0.9563698194726018,41891.78462100001,0.1517216547068046,True
W120,0.976802055687722,27489.60307061846,0.1421133607778034,True
W121,0.9762551968329752,2307.090048384604,0.0042116346613848814,False
W122,0.9789387832569885,979.8018351876921,0.07784910943807456,False
W123,0.9790121529782991,1172.1770480892305,0.0659220415287042,False
W124,0.8930827513346554,28779.058123692288,0.018043018312855943,False
W125,0.9764780796360176,38470.57116153847,0.015239672626092162,False
W126,0.9208473780740623,2275.325011384599,0.0036716123318873825,False
W127,0.9815910578951262,28046.781292307624,0.0128349098715337,False
W128,0.9756688284353462,12257.32812523076,0.024851971297301594,False
W129,0.9327145817405247,1321.425733787692,0.034502363212515604,False
W130,0.9300502403150676,20793.343563692346,0.0152414850070475,False
W131,0.8730806233047399,206.2316784615395,0.006018580915800732,False
W132,0.9193895145273316,22927.240253845994,0.0053611790514869655,False
W133,0.9697935368167151,6839.3080123077025,0.005266596809454413,False
W134,0.9751399747508535,5404.640694384578,0.0053156894663920545,False
