,ar2_stationary3,ar2_stationary4,ar2_ent_rate3,ar2_ent_rate4,ar2_ent_rate3_5_jump,ar2_ent_rate4_5_jump,arma_stationary3,arma_stationary4,arma_ent_rate3,arma_ent_rate4,arma_ent_rate3_5_jump,arma_ent_rate4_5_jump,multifractal_stationary3,multifractal_stationary4,multifractal_ent_rate3,multifractal_ent_rate4,multifractal_ent_rate3_5_jump,multifractal_ent_rate4_5_jump,random_walk_stationary3,random_walk_stationary4,random_walk_ent_rate3,random_walk_ent_rate4,random_walk_ent_rate3_5_jump,random_walk_ent_rate4_5_jump
0,2.5448731389867802,4.418940742451008,1.5230119192768383,1.8302178041569657,2.6057060781806682,5.150712241504921,0.09651419117394043,0.09912888961035396,0.7509399761445037,3.010600584794723,0.11994857941079626,8.876117220171755,2.507938280998233,4.333906608700143,1.4835252151836573,1.8673303956232612,2.6196837745529082,5.454980215721866,2.507938280998233,4.333906608700143,1.4835252151836573,1.8673303956232612,2.6196837745529082,5.454980215721866
1,2.5743355949956865,4.52653732680928,1.5419628234073743,1.9260985689946724,2.5906795542199705,4.779683358298907,0.13264101859171412,0.49628431905938447,0.3999575987181785,2.2063752889125348,0.4939461963044431,9.485417490411384,2.497934097197587,4.303203166924462,1.470128100691995,1.798317483890484,2.625469694202968,5.558750808677073,2.497934097197587,4.303203166924462,1.470128100691995,1.798317483890484,2.625469694202968,5.558750808677073
2,2.5835397385481467,4.545200878133011,1.5167541966880893,1.9121077255299597,2.585823816785584,4.715828617314273,0.0034337268793891342,4.763265658116671e-05,1.3899597846996417,3.4387221285865106,2.1400335163956905,9.533127831639993,2.4953385667361134,4.287838396102688,1.459821678737196,1.8292521486619737,2.626963893489813,5.606154965979079,2.4953385667361134,4.287838396102688,1.459821678737196,1.8292521486619737,2.626963893489813,5.606154965979079
3,2.5458766332527123,4.427210086388882,1.5045131883228784,1.8404773980410227,2.604822977345084,5.1356189805211265,1.3566055546509052e-36,0.00020015161048015138,0.430827083453526,3.629761979737583,0.00958460696129516,8.591823604699508,2.5231224810374853,4.368695977442558,1.5002345361558986,1.871598265696471,2.615180319365015,5.3320301193374515,2.5231224810374853,4.368695977442558,1.5002345361558986,1.871598265696471,2.615180319365015,5.3320301193374515
4,0.07470964271081881,0.11051504203048437,1.1229441810043355,3.0652394369036373,0.20842185934815946,5.956244608094666,0.01264595397827498,0.0014590068989101285,1.3902087981661932,3.2477059361566276,2.340195196110913,10.673149648700349,2.477107734938491,4.2369470499550665,1.451472085348869,1.7590518994153808,2.633858150661675,5.7742861854738186,2.477107734938491,4.2369470499550665,1.451472085348869,1.7590518994153808,2.633858150661675,5.7742861854738186
5,2.552422373978014,4.464847075846331,1.5089114855939967,1.8600437723901728,2.6017659284206287,4.988894266879886,7.182418344838816e-07,5.100347186559678e-05,0.43082709221891496,3.4387222627163445,1.0631568524248631,9.855267918745218,2.488843504322971,4.266436335617048,1.456945468996863,1.822547809214007,2.627571029801187,5.670799844982554,2.488843504322971,4.266436335617048,1.456945468996863,1.822547809214007,2.627571029801187,5.670799844982554
6,0.3511685335844553,0.46779482769254754,0.8698226357169463,1.7253599213047914,0.7983131249104852,10.9283277649119,0.023055872608356138,0.0019555877633335604,1.2939509364543986,3.820802083934299,0.17129312178206796,9.48015954773586,2.492993555938282,4.281772282060903,1.4725113093068811,1.7874100243205642,2.6262730705750017,5.626930045867256,2.492993555938282,4.281772282060903,1.4725113093068811,1.7874100243205642,2.6262730705750017,5.626930045867256
7,2.5836534683590466,4.57594615118392,1.5076397542318254,1.8946852057685573,2.585572315198843,4.610988578555709,0.023096703260455043,1.8939658731450175e-05,0.43229976691913435,3.438721875540868,0.018130890483745228,8.096455799973667,2.4666364365438196,4.223689826123534,1.4450923724076041,1.783845333575321,2.6380602112857323,5.829218518100503,2.4666364365438196,4.223689826123534,1.4450923724076041,1.783845333575321,2.6380602112857323,5.829218518100503
8,0.26596938840144374,0.365846296368451,0.8859273225111981,1.6830476573182978,0.9629195768792661,9.71437967840205,0.023055872608356138,0.036350249729367984,1.2939509364543986,3.82227316321086,0.17129312178206796,9.491739241233114,2.4879894771319577,4.297897809978975,1.4699371912986567,1.8357083802950784,2.6302185026969025,5.588128841063739,2.4879894771319577,4.297897809978975,1.4699371912986567,1.8357083802950784,2.6302185026969025,5.588128841063739
9,2.3956876663448505,3.9656899856864,1.4595496231996345,1.8593911790920403,2.5661761472027345,6.223620275085028,2.8211511853249013e-14,0.01747364447620234,1.2924812503605776,4.011842188131013,0.15488269434212795,10.631725228257146,2.509625070896187,4.302595242486663,1.48637164986214,1.813828957665663,2.621105171176013,5.543748916852662,2.509625070896187,4.302595242486663,1.48637164986214,1.813828957665663,2.621105171176013,5.543748916852662
10,0.4385191106109521,0.6234902158323715,0.9769682828400947,0.9775437697123153,1.5760751773111932,8.660202072245971,0.02311717623938257,0.0005419666036564255,0.4323012701920895,3.9387108738878656,0.019395283892636787,10.887972860546563,2.5132746673579254,4.317422540846058,1.4890562881117073,1.8135610044695674,2.618280562453117,5.505968589884662,2.5132746673579254,4.317422540846058,1.4890562881117073,1.8135610044695674,2.618280562453117,5.505968589884662
11,2.42116821061291,4.099542354206297,1.4444247767452283,1.7664942921519815,2.624293816213002,5.974273547494919,0.0013310071285243007,0.9926876062572434,2.1541354172676304,4.3939223965244425,1.9565223418603344,10.338359623605864,2.49111427292763,4.290091436064806,1.4512532687987871,1.8072525530195247,2.6301449884564967,5.5886834428256025,2.49111427292763,4.290091436064806,1.4512532687987871,1.8072525530195247,2.6301449884564967,5.5886834428256025
12,0.00020525181157191638,1.6731942647160053e-06,0.9308261175032653,3.247681771344153,1.691930580967602,8.024283974117724,0.0013310071285243007,0.9926876062572434,2.1541354172676304,4.3939223965244425,1.9565223418603344,10.338359623605864,2.4785128946618813,4.249017658844823,1.4483468996056765,1.832499643411268,2.6316437118380445,5.7409382462511545,2.4785128946618813,4.249017658844823,1.4483468996056765,1.832499643411268,2.6316437118380445,5.7409382462511545
13,0.5608357276292673,1.3017161794680667,1.2960373652193453,2.402249653750969,2.5621584549204157,9.325989702100145,2.8051340528058274e-14,0.017473644476202182,1.2924812503605776,4.011842188131013,0.15488269434212748,10.631725228257148,2.496973693142052,4.309041864880432,1.481978139255367,1.828854240950778,2.6266481182735375,5.541880745224125,2.496973693142052,4.309041864880432,1.481978139255367,1.828854240950778,2.6266481182735375,5.541880745224125
14,2.575475973056436,4.515037522535711,1.5333522101524157,1.8946254744117217,2.5906394970417734,4.822034028295347,2.821151185324902e-14,0.0174736444762024,1.292481250360578,4.011842188131013,0.1548826943421275,10.631725228257146,2.500834749138395,4.2813185982268305,1.4844525356901637,1.826158673064334,2.6257401427990232,5.622283838022543,2.500834749138395,4.2813185982268305,1.4844525356901637,1.826158673064334,2.6257401427990232,5.622283838022543
15,0.05911674851224297,0.09042084367900005,1.2968964895760517,3.8252216350259634,0.20388942971949783,9.514982702970851,0.0462695782887259,8.098540594990699e-10,1.4312865327892077,2.6745614587540083,0.9051757720910741,7.18913218526878,2.4964827878693803,4.306639078367539,1.4898212984998995,1.8477843024300316,2.6257178672319093,5.558885865443759,2.4964827878693803,4.306639078367539,1.4898212984998995,1.8477843024300316,2.6257178672319093,5.558885865443759
16,2.5819619975492665,4.512037778368184,1.5490837339928842,1.9075870711882952,2.586588849608092,4.825761406878956,0.04205744140986374,0.00035328936288537074,1.7929490270718418,3.6297653201562174,1.12050686999993,10.37587418853024,2.5332425954636504,4.387283955993977,1.5060735358964557,1.8785217864544586,2.6105758586542347,5.264914539728189,2.5332425954636504,4.387283955993977,1.5060735358964557,1.8785217864544586,2.6105758586542347,5.264914539728189
